Year,Cause,Sex,Deaths2,Deaths3,Deaths4,Deaths5,Deaths6,Deaths7,Deaths8,Deaths9,Deaths10,Deaths11,Deaths12,Deaths13,Deaths14,Deaths15,Deaths16,Deaths17,Deaths18,Deaths19,Deaths20,Deaths21,Deaths22,Deaths23,Deaths24,Deaths25,Deaths26,IM_Deaths1,IM_Deaths2,IM_Deaths3,IM_Deaths4
1979,200,1,0,1,0,2,5,25,21,33,36,50,43,63,73,118,176,273,352,413,383,313,209,134,,,0,0,0,0,0
1979,200,2,0,0,2,1,0,6,2,11,18,31,34,24,33,67,146,218,278,340,399,349,280,194,,,0,0,0,0,0
1979,2000,1,0,0,0,1,1,0,2,9,16,24,21,25,39,58,95,136,175,213,178,145,99,57,,,0,0,0,0,0
1979,2000,2,0,0,1,1,0,0,1,6,7,18,26,13,19,36,81,120,149,178,198,170,125,83,,,0,0,0,0,0
1979,2001,1,0,1,0,0,0,8,6,14,8,18,18,32,29,50,68,126,161,181,193,154,107,74,,,0,0,0,0,0
1979,2001,2,0,0,0,0,0,3,0,3,9,11,7,7,11,29,57,89,122,148,186,168,139,107,,,0,0,0,0,0
1979,2002,1,0,0,0,1,4,17,13,10,11,5,3,3,2,0,3,1,1,1,1,2,0,1,,,0,0,0,0,0
1979,2002,2,0,0,0,0,0,3,1,1,0,1,1,3,1,0,2,0,0,1,2,0,0,1,,,0,0,0,0,0
1979,202,1,4,3,0,4,4,32,30,42,43,42,40,71,95,159,257,319,445,568,546,453,299,219,,,0,0,0,0,4
1979,202,2,0,4,1,4,0,8,10,14,16,28,27,36,57,99,174,260,360,429,478,484,380,322,,,0,0,0,0,0
1979,203,1,1,0,0,0,0,0,0,0,0,0,11,21,46,103,200,336,461,538,554,503,319,240,,,0,1,0,0,0
1979,203,2,0,0,0,0,0,0,0,0,0,2,1,13,27,63,160,239,336,471,547,526,411,285,,,0,0,0,0,0
1979,2030,1,1,0,0,0,0,0,0,0,0,0,11,19,44,102,197,336,456,537,550,501,318,237,,,0,1,0,0,0
1979,2030,2,0,0,0,0,0,0,0,0,0,2,1,12,26,59,159,239,331,466,545,522,408,284,,,0,0,0,0,0
